bond_id,issuer_name,total_USD_allocated,category_sum_USD,difference_USD
10760,France,5865797188.45,5847695172.58,18102015.869999886
10529,European Union,15519856500.68,15521007559.78,-1151059.1000003815
20465,Bank of China (Singapore Branch),500000000.0,499100000.0,900000.0
7537,New South Wales Treasury Corp.,1162438862.25,1163126289.13,-687426.8800001144
18514,ING Groep,1726588654.0,1726105209.17,483444.8299999237
18168,SNCF Reseau,1140929782.89,1140535133.08,394649.8100001812
21163,Enexis Holding,575529551.0,575145864.63,383686.37000000477
10793,Banque Federative du Credit Mutuel,863294327.0,863627558.62,-333231.62000000477
21395,Bank of Ireland Group,863294327.0,863501517.64,-207190.6399999857
19241,MTR Corporation,1200000000.0,1200196000.0,-196000.0
18435,Ignitis Group,345317731.0,345145072.14,172658.8600000143
10462,Madrid (Autonomous Community),805741372.0,805626266.0699999,115105.93000006676
7326,Austria,1151059103.0,1151174208.9099998,-115105.90999984741
20148,CK Hutchison Holdings Limited,569659149.58,569544043.68,115105.90000009537
19749,Georgian Railway,424200000.0,424100000.0,100000.0
7723,Dream Industrial REIT,119970064.96,119903101.99,66962.96999999881
20526,ING Groep,1726588654.0,1726547215.8799999,41438.12000012398
22345,SNCF Reseau,1018687306.45,1018655076.8,32229.650000095367
16207,BNP Paribas,100000000.0,100023780.0,-23780.0
34806,City of Ostersund Sweden,63358562.0,63381650.3,-23088.29999999702
7485,KBN (Kommunalbanken),364336249.0,364343123.27,-6874.2699999809265
11332,Standard Chartered Bank,40000000.0,40002380.0,-2380.0
11035,Caisse des depots et consignations,1151059103.0,1151061174.9099998,-2071.909999847412
10959,Credit Mutuel Arkea,28776478.0,28777666.51,-1188.5100000016391
23322,Standard Chartered Bank,3740000.0,3739000.0,1000.0
20297,National Bank of Canada,8936550.0,8937237.42,-687.4199999999255
10166,Landesbank Baden-Wuerttemberg (LBBW),27625418.0,27625993.87,-575.8700000010431
13554,"Japan Railway Construction, Transport and Technology Agency",62381855.0,62381861.13,-6.130000002682209
11213,MTR Corporation,50636.56,50633.68,2.8799999999973807
15784,Slovenia,1428423109.6,1428423110.76,-1.1600000858306885
