bond_currency,count,median,std
HKD,3,0.12766335333333334,0.5036437980175381
GBP,7,1.325943192,0.06609996060571204
USD,50,1.0,0.02990194746880424
EUR,133,1.1510591026666666,0.013098485280499193
MYR,5,0.24919008333333334,5.2174919482517036e-08
SGD,3,0.7756446715384615,3.2873554893064434e-08
AUD,9,0.6874268849122807,1.2984157238542541e-08
CHF,2,1.2518306725,3.535533884445633e-09
CAD,4,0.71980757,1.0000000642366538e-09
SEK,14,0.105597604,6.50226949573864e-10
NOK,7,0.1026009168,5.150912188407853e-10
JPY,22,0.006238185467272728,1.1169673111457839e-10
ISK,2,0.008015388219605474,3.558307101610862e-11
HUF,3,0.0029576606364922205,2.3446519578144884e-11
CNY,10,0.1446759,0.0
DKK,1,0.031204163375,
KRW,1,0.0006630924875,
MAD,1,0.107194905,
NZD,1,0.574514455,
PHP,1,0.016519912294849778,
THB,1,0.030427963636363638,
ZAR,1,0.05846652966841187,
