bond_id,isin,post_icma_category,impact_metric,impact_type,impact_value,impact_unit,impact_per_million_USD,source_reasoning,source_detail
7326,AT0000A30H57,Environmentally Sustainable Management of Living Natural Resources & Land Use,Area of farmland/forests under sustainable management practices,Environmental,6744070000.0,m2,143956088.073605,"Based on total area of 3439100 hectares (1.8 million hectares from Austrian Agri-environmental program + 1.4 million hectares from Austrian compensatory allowance for less-favored areas + 239100 hectares of National Parks) across Austria's green portfolio. This bond represents 19.61% of the total EUR 5.1 billion green securities issued in 2022, so 19.61% of the impact is attributed: 3439100 hectares × 19.61% = 674407 hectares, or 674.41 hectares per million EUR invested.",Green Investor Report 2022
39056,US15239MJT09,Sustainable Water and Wastewater Management,Annual water savings water efficiency improvements,Environmental,60566.56,m3,153333.063291,Original reported value of 16 million gallons per year for water main replacements funded by the green bond. Calculated as 16 million gallons ÷ $31.8 million total bond issuance = 0.503 million gallons per million USD invested. Contributing projects: water main replacements and relocations.,"Green Bond Report, Page 12; Revisiting the Growing Green Bond Market, Page 7"
39056,US15239MJT09,Environmentally Sustainable Management of Living Natural Resources & Land Use,Area of farmland/forests under sustainable management practices,Environmental,3140472.0,m2,7354735.362998,"Original reported values of 316 forested acres acquired in 2021 and 460 acres purchased in 2018 (refinanced with 2020 bond), totaling 776 acres. Calculated as 776 acres ÷ $31.8 million total bond issuance = 24.4 acres per million USD invested. Contributing projects: watershed protection initiatives including forest acquisition and sustainable management.","Green Bond Report, Page 12; Revisiting the Growing Green Bond Market, Page 7"
39056,US15239MJT09,Environmentally Sustainable Management of Living Natural Resources & Land Use,Area of preserved terrestrial and marine natural habitats,Environmental,299478.0,m2,701353.629977,Original reported value of 74-acre conservation easement purchased on property jointly owned by conservation partners. Calculated as 74 acres ÷ $31.8 million total bond issuance = 2.33 acres per million USD invested. Contributing project: conservation easement funded by the green bond.,"Green Bond Report, Page 12; Revisiting the Growing Green Bond Market, Page 7"
9436,CND10007TCM5,Renewable Energy,Annual renewable energy generation output,Environmental,11410000000.0,MWh,39432967.066388,"Calculated from standard coal savings attributed to the bond (34400 tons) converted to energy generation using the document's conversion ratio (758.23 TWh ÷ 2286.06 tons of standard coal), then divided by the 2000 million CNY bond amount. Contributions come from Wudongde (18100 tons coal saved) and Baihetan (16300 tons coal saved) hydropower stations.","About the Use of Proceeds and Project Progress of Green Debt Financing Instruments, Page 12"
39055,US15239MJM55,Sustainable Water and Wastewater Management,Annual water savings water efficiency improvements,Environmental,60560.0,m3,239960.376424,Original value: 16 million gallons per year saved from water main replacements. Calculation: 16000000 gallons / $4128346 total investment = 3876.15 gallons per dollar. Then 3876.15 × $1000000 = 3876150000 gallons per million USD invested. Contributing projects: Water main replacements and relocations.,"Green Bond Report: Investing in Green-Gray Infrastructure FY 2021, Page 12"
39055,US15239MJM55,Environmentally Sustainable Management of Living Natural Resources & Land Use,Annual GHG emissions reduced/avoided/sequestered,Environmental,32500.0,tCO2e per year,119211.370931,Original value: 195000 tons of carbon sequestered every 6 years on protected CAW lands. Calculation: Annual sequestration = 195000 tons / 6 years = 32500 tons per year. Then 32500 tons per year / $5556436 total investment = 0.00585 tons per dollar per year. Then 0.00585 × $1000000 = 5850 tons per million dollars invested per year. Contributing projects: Forest acquisition and conservation easements.,"Green Bond Report: Investing in Green-Gray Infrastructure FY 2021, Page 12"
39055,US15239MJM55,Environmentally Sustainable Management of Living Natural Resources & Land Use,Area of preserved terrestrial and marine natural habitats,Environmental,299478.0,m2,1098497.936726,Original value: 74-acre conservation easement on the Rattlesnake Ridge Natural Area. Calculation: 74 acres / $600000 = 0.000123 acres per dollar. Then 0.000123 × $1000000 = 123 acres per million dollars invested. Converting to hectares: 123 acres = 49.77 hectares. Contributing project: Conservation easement.,"Green Bond Report: Investing in Green-Gray Infrastructure FY 2021, Page 12"
39055,US15239MJM55,Environmentally Sustainable Management of Living Natural Resources & Land Use,Area of farmland/forests under sustainable management practices,Environmental,1278852.0,m2,4690883.081155,Original value: 316 forested acres acquired in the watershed. Calculation: 316 acres / $1447039 = 0.000218 acres per dollar. Then 0.000218 × $1000000 = 218 acres per million dollars invested. Converting to hectares: 218 acres = 88.22 hectares. Contributing project: Forest acquisition.,"Green Bond Report: Investing in Green-Gray Infrastructure FY 2021, Page 12"
34736,JP2141301QC8,Pollution Prevention and Control,Annual renewable energy generation output,Environmental,82800.0,MWh,93472.466573,"Calculated from Tachibana Treatment Center project which generates 82800800 kWh (82.8 GWh) with 141 million JPY allocation, resulting in 587239.72 kWh (0.59 GWh) per million JPY.","Kawasaki City Green Bond Impact Report Book, Page 10"
